theta,phi,B
3.951688872439991507e-02,1.825282882532617057e+00,2.590749359233893157e-01
3.951688872439991507e-02,1.842833679480046172e+00,2.590715274250830480e-01
3.951688872439991507e-02,1.860384476427475064e+00,2.590673221163012352e-01
3.951688872439991507e-02,1.877935273374904179e+00,2.590623277356721710e-01
3.951688872439991507e-02,1.895486070322333072e+00,2.590565741182731530e-01
3.951688872439991507e-02,1.913036867269762187e+00,2.590501062440081492e-01
3.951688872439991507e-02,1.930587664217191080e+00,2.590429754553196795e-01
3.951688872439991507e-02,1.948138461164620194e+00,2.590352293081619739e-01
3.951688872439991507e-02,1.965689258112049309e+00,2.590269006801897422e-01
3.951688872439991507e-02,1.983240055059478202e+00,2.590179968944021360e-01
3.951688872439991507e-02,2.000790852006907095e+00,2.590084897108940742e-01
3.951688872439991507e-02,2.018341648954336431e+00,2.589983070812174049e-01
3.951688872439991507e-02,2.035892445901765324e+00,2.589873275393586582e-01
3.951688872439991507e-02,2.053443242849194217e+00,2.589753780146941686e-01
3.951688872439991507e-02,2.070994039796623110e+00,2.589622356944605852e-01
3.951688872439991507e-02,2.088544836744052446e+00,2.589476343408094183e-01
3.951688872439991507e-02,2.106095633691481339e+00,2.589312751903740106e-01
3.951688872439991507e-02,2.123646430638910232e+00,2.589128422477908753e-01
3.951688872439991507e-02,2.141197227586339125e+00,2.588920214486147287e-01
3.951688872439991507e-02,2.158748024533768461e+00,2.588685228346650491e-01
3.951688872439991507e-02,2.176298821481197354e+00,2.588421045810075372e-01
3.951688872439991507e-02,2.193849618428626247e+00,2.588125974633816440e-01
3.951688872439991507e-02,2.211400415376055140e+00,2.587799281809523566e-01
3.951688872439991507e-02,2.228951212323484476e+00,2.587441398708509865e-01
3.951688872439991507e-02,2.246502009270913369e+00,2.587054081816500539e-01
3.951688872439991507e-02,2.264052806218342262e+00,2.586640514191888562e-01
3.951688872439991507e-02,2.281603603165771599e+00,2.586205335385308168e-01
3.951688872439991507e-02,2.299154400113200492e+00,2.585754591205002839e-01
3.951688872439991507e-02,2.316705197060629384e+00,2.585295599220597818e-01
3.951688872439991507e-02,2.334255994008058277e+00,2.584836731013637756e-01
3.951688872439991507e-02,2.351806790955487614e+00,2.584387117591972483e-01
3.951688872439991507e-02,2.369357587902916507e+00,2.583956289732876610e-01
3.951688872439991507e-02,2.386908384850345399e+00,2.583553769935377775e-01
3.951688872439991507e-02,2.404459181797774292e+00,2.583188636784183867e-01
3.951688872439991507e-02,2.422009978745203629e+00,2.582869085529952979e-01
3.951688872439991507e-02,2.439560775692632522e+00,2.582602010308021612e-01
3.951688872439991507e-02,2.457111572640061414e+00,2.582392633468604815e-01
3.951688872439991507e-02,2.474662369587490307e+00,2.582244205892815225e-01
3.951688872439991507e-02,2.492213166534919644e+00,2.582157798948491179e-01
3.951688872439991507e-02,2.509763963482348537e+00,2.582132204038456447e-01
3.951688872439991507e-02,2.527314760429777429e+00,2.582163949759508359e-01
3.951688872439991507e-02,2.544865557377206766e+00,2.582247439866552918e-01
3.951688872439991507e-02,2.562416354324635659e+00,2.582375207940383333e-01
3.951688872439991507e-02,2.579967151272064552e+00,2.582538277355249656e-01
3.951688872439991507e-02,2.597517948219493444e+00,2.582726608316763817e-01
3.951688872439991507e-02,2.615068745166922781e+00,2.582929607859166810e-01
3.951688872439991507e-02,2.632619542114351674e+00,2.583136674172583080e-01
3.951688872439991507e-02,2.650170339061780567e+00,2.583337743815356524e-01
3.951688872439991507e-02,2.667721136009209459e+00,2.583523809489014500e-01
3.951688872439991507e-02,2.685271932956638796e+00,2.583687377224297421e-01
3.951688872439991507e-02,2.702822729904067689e+00,2.583822835021675757e-01
3.951688872439991507e-02,2.720373526851496582e+00,2.583926710047215192e-01
3.951688872439991507e-02,2.737924323798925474e+00,2.583997798113177868e-01
3.951688872439991507e-02,2.755475120746354811e+00,2.584037156969022919e-01
3.951688872439991507e-02,2.773025917693783704e+00,2.584047963401032155e-01
3.951688872439991507e-02,2.790576714641212597e+00,2.584035242741276606e-01
3.951688872439991507e-02,2.808127511588641489e+00,2.584005487552532010e-01
3.951688872439991507e-02,2.825678308536070826e+00,2.583966189438595129e-01
3.951688872439991507e-02,2.843229105483499719e+00,2.583925313638641974e-01
3.951688872439991507e-02,2.860779902430928612e+00,2.583890749901207595e-01
3.951688872439991507e-02,2.878330699378357949e+00,2.583869774819487208e-01
3.951688872439991507e-02,2.895881496325786841e+00,2.583868560206974974e-01
